,Date,Core (m/m)
0,2024-11-01,0.42
1,2024-10-01,1.303
2,2024-09-01,0.962
3,2024-08-01,0.938
4,2024-07-01,-0.49
5,2024-06-01,1.304
6,2024-05-01,-0.789
7,2024-04-01,0.309
8,2024-03-01,1.428
9,2024-02-01,13.242
10,2024-01-01,2.222
11,2023-12-01,1.313
12,2023-11-01,0.981
13,2023-10-01,1.8
14,2023-09-01,1.1
15,2023-08-01,0.338
16,2023-07-01,1.319
17,2023-06-01,1.695
18,2023-05-01,2.858
19,2023-04-01,1.716
20,2023-03-01,2.54
21,2023-02-01,8.117
22,2023-01-01,6.32
23,2022-12-01,2.582
24,2022-11-01,2.651
25,2022-10-01,2.964
26,2022-09-01,1.554
